train_id,route,date,day_type,departure_time,passenger_count,seat_capacity,num_coaches,platform_number,delay_minutes
T001,Kolkata-Chennai,2024-03-09,Holiday,14:45,683,1224,17,6,10
T002,Chennai-Bengaluru,2024-02-26,Holiday,21:30,1609,1440,20,5,0
T003,Kolkata-Chennai,2024-01-19,Weekend,06:00,910,1584,22,5,11
T004,Chennai-Bengaluru,2024-02-05,Weekday,23:15,306,720,10,1,17
T005,Bengaluru-Mumbai,2024-03-06,Holiday,06:00,596,1152,16,6,0
T006,Delhi-Kolkata,2024-01-11,Weekend,08:30,363,1080,15,6,15
T007,Chennai-Bengaluru,2024-03-04,Weekday,10:15,1098,1440,20,5,14
T008,Bengaluru-Mumbai,2024-02-09,Weekday,21:30,350,648,9,3,0
T009,Chennai-Bengaluru,2024-03-01,Weekend,14:45,985,936,13,2,39
T010,Mumbai-Delhi,2024-03-09,Weekend,18:00,510,576,8,3,17
T011,Kolkata-Chennai,2024-01-26,Weekday,23:15,876,1512,21,6,42
T012,Kolkata-Chennai,2024-03-18,Holiday,06:00,2024,1584,22,6,25
T013,Kolkata-Chennai,2024-01-01,Weekend,06:00,564,936,13,6,28
T014,Delhi-Kolkata,2024-02-29,Holiday,10:15,1470,1224,17,2,56
T015,Mumbai-Delhi,2024-03-07,Weekday,10:15,1295,1296,18,2,15
T016,Kolkata-Chennai,2024-01-28,Weekend,23:15,422,864,12,3,0
T017,Delhi-Kolkata,2024-01-19,Holiday,08:30,1803,1440,20,2,11
T018,Bengaluru-Mumbai,2024-01-09,Holiday,06:00,510,1296,18,6,0
T019,Mumbai-Delhi,2024-03-03,Weekday,21:30,1012,1224,17,3,18
T020,Mumbai-Delhi,2024-02-27,Weekend,10:15,1150,1512,21,6,69
T021,Chennai-Bengaluru,2024-02-15,Weekend,21:30,476,936,13,5,0
T022,Kolkata-Chennai,2024-02-28,Weekday,08:30,509,1440,20,4,25
T023,Chennai-Bengaluru,2024-03-03,Weekend,18:00,609,648,9,3,6
T024,Chennai-Bengaluru,2024-02-19,Holiday,21:30,1502,1224,17,1,8
T025,Chennai-Bengaluru,2024-02-18,Weekday,14:45,557,864,12,2,25
T026,Chennai-Bengaluru,2024-02-28,Weekday,18:00,537,1368,19,5,0
T027,Mumbai-Delhi,2024-01-06,Holiday,14:45,959,720,10,5,0
T028,Kolkata-Chennai,2024-03-17,Holiday,08:30,624,1008,14,4,4
T029,Mumbai-Delhi,2024-01-14,Holiday,06:00,1683,1368,19,5,10
